"rank","tiktok_play_count","tiktok_likes","tiktok_comments","tiktok_shares","tiktok_saves","tiktok_url","tiktok_posted_date","asin","name","name_he","category","rating","review_count","price_usd","ships_to_israel","free_shipping_type","affiliate_link","source_video_url","image_url","description_he","status","discovered_at","updated_at"
"16","9576","79","3","30","36","https://www.tiktok.com/@bk_owner/video/7617107473916431618","2026-03-14","B0C32N92RZ","B0C32N92RZ","","bk_owner","0.0","0","0.0","1","paid","https://www.amazon.com/dp/B0C32N92RZ/?tag=eskl20-20","https://www.tiktok.com/@bk_owner/video/7617107473916431618","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogWCABefC1OpiFAzEarzRZhBgi9Ek0AgDHt9IA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=e41036a0&x-expires=1779030000&x-signature=DIgvOZRSC7vDLhpK8W3e4rMBfsc%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:27.259649+00:00","2026-05-16T15:11:27.259649+00:00"
"17","7006","83","1","10","23","https://www.tiktok.com/@bk_owner/video/7633793923034451222","2026-04-28","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7633793923034451222","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/osq66AkDpCX38cIFEAAKfAIPEFvhf8WgZRQUHi~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=6ded044e&x-expires=1779030000&x-signature=XG%2FwsyXxe1YL2IBH%2FzQ12TIJfoQ%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"18","6962","150","6","81","108","https://www.tiktok.com/@bk_owner/video/7577038869820886294","2025-11-26","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7577038869820886294","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o00kA2sDIA4cBAtCEaAn7CARAIiLVSf80wJBZi~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=5d291e6a&x-expires=1779030000&x-signature=FBFUgMqO5WgEl6z8CMANslrwk9U%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&s=PUBLISH&sc=cover&biz_tag=tt_video","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"19","6844","36","1","13","10","https://www.tiktok.com/@bk_owner/video/7617857695093198102","2026-03-16","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7617857695093198102","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o4C6RADEuCBfEAW34fi2k0dEAWoFEEpTFIgARa~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=efa323df&x-expires=1779030000&x-signature=b8AwW8KEXowhobs4KTaFcfSqw0w%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"20","5424","74","1","9","23","https://www.tiktok.com/@bk_owner/video/7606386553228725526","2026-02-13","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7606386553228725526","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oMIeGmAWPIUgRojgWAgAf2E4XGpAfvQYAeQKMU~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=9acbe874&x-expires=1779030000&x-signature=wknuOupM1tIJaiGqMq4Kj2O7DP4%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"21","4511","49","1","19","34","https://www.tiktok.com/@bk_owner/video/7611910829868354838","2026-02-28","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7611910829868354838","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oIaX8Ax5bEcE32IAaYFipBhLBP1sCAiiB0uAw~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=d3471ccc&x-expires=1779030000&x-signature=8QcNl3UF1%2B1cHr%2BAE%2BH0%2BFRWhw0%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&s=PUBLISH&sc=cover&biz_tag=tt_video","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"22","4285","84","0","49","42","https://www.tiktok.com/@bk_owner/video/7601047206547803414","2026-01-30","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7601047206547803414","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ocAYBBA37nX4WEC6BYIEa8iABxAqgS1piLvBa~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=c8f7d6d1&x-expires=1779030000&x-signature=qeSMuJgNYv628R0gjpas8rha1WM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"23","3989","127","1","27","40","https://www.tiktok.com/@bk_owner/video/7604915579975191830","2026-02-09","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7604915579975191830","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/okgAEEhbpFAiFPouADCSCSkiFAZEkIfRmEssKe~tplv-tiktokx-dmt-logoccm:300:400:tos-no1a-i-0068-no/okEACIYya5BWoAGpnAAjBEaCFXKjQBCimQiYP.jpeg?dr=9231&refresh_token=0bb5cace&x-expires=1779030000&x-signature=UPAZi%2FiBEvttKIsk2siKU%2Fpooss%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"24","3943","47","1","10","28","https://www.tiktok.com/@bk_owner/video/7603826413782732054","2026-02-06","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7603826413782732054","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oIG9ADDAAITAFCffDIfFjcT893GPNGIrAELZAE~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=5b17aa90&x-expires=1779030000&x-signature=ewB00uhE8f%2FH2n0KWdI%2B44teqmI%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"25","3764","52","0","73","29","https://www.tiktok.com/@bk_owner/video/7610025871855848726","2026-02-23","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7610025871855848726","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oU1nDfwgEEckIWPJIApgFCtcEIRDAAY7CFDAfR~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=bb572f53&x-expires=1779030000&x-signature=TwYuQEMnYKX3OnMKHnUt%2FYUCMyc%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"26","3668","82","0","31","32","https://www.tiktok.com/@bk_owner/video/7600864913128557846","2026-01-29","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7600864913128557846","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o8JeDfhaIE2IIlsf0ASAFFj7E5j7AAkOBLpAMG~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=c6f9f6c7&x-expires=1779030000&x-signature=mGsM%2F%2ByGdwiBn8dI5ADUAVC5JTY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"27","3559","68","0","27","21","https://www.tiktok.com/@bk_owner/video/7600474087013616918","2026-01-28","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7600474087013616918","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oYuILetI4IAkCAr4fsT76fA1GAExHFDBSE9jAF~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=6a1b3dd1&x-expires=1779030000&x-signature=fUeVM0ERDl%2B%2FE1Kb%2BDIx7bb9fnY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&s=PUBLISH&sc=cover&biz_tag=tt_video","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"28","3292","58","0","23","26","https://www.tiktok.com/@bk_owner/video/7603033560743775510","2026-02-04","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7603033560743775510","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogrYZxaMADL4Ciivpm8AY2sBOB2vE7E7AIBAN~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=027cface&x-expires=1779030000&x-signature=XDD%2B8kS4zFLvwr59vGYQGbN7YNM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"29","3289","37","0","2","9","https://www.tiktok.com/@bk_owner/video/7600794978566114582","2026-01-29","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7600794978566114582","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ocaEsA7EspIRAwBBK2icB2iyAtAAVJj3YvbBX~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=4c4074a1&x-expires=1779030000&x-signature=%2FVcBjT7f5hTBTB%2BENfblmRXT8Jo%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"30","3286","42","0","21","22","https://www.tiktok.com/@bk_owner/video/7616766957857279234","2026-03-13","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7616766957857279234","https://p19-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogCpAM5tqFCAwEDAEpED4Sf9IAr6gEFiFk0qeR~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=6def550e&x-expires=1779030000&x-signature=UAj1F5lEhsIrk%2FGhr3%2B%2FatTuIbA%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&s=PUBLISH&sc=cover&biz_tag=tt_video","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"31","3069","58","1","30","38","https://www.tiktok.com/@bk_owner/video/7609696271284145430","2026-02-22","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7609696271284145430","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o8RCIFFoAvtfErmJFpAkA2k2eAIEQAlNDxJvEg~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=4c483ed6&x-expires=1779030000&x-signature=AYgeuOkW1puwzP7AKDQriyNbK%2F8%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"32","3042","36","0","22","19","https://www.tiktok.com/@bk_owner/video/7614896484282043670","2026-03-08","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7614896484282043670","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oYkDGA9AECpAI5FgpWeAQiYfruoRCVErtEF3FL~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=222804bd&x-expires=1779030000&x-signature=tj2L%2FWOJYBP9omDhS6cmd4Fgbrw%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"33","2981","47","0","24","21","https://www.tiktok.com/@bk_owner/video/7602602997746519318","2026-02-03","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7602602997746519318","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogQyBAYIdkAcziIpCgifFCgyb3lAecE1RAB1ET~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=0474945b&x-expires=1779030000&x-signature=q5mgy%2BN%2BjHpfPYbgbG%2Bxp3tdrYU%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"34","2910","71","1","16","20","https://www.tiktok.com/@bk_owner/video/7630060726727773463","2026-04-18","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7630060726727773463","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o0Af2FvmA5NRqDgJQi1FN4AbH0EE4pfkgACGIy~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=23e6ed64&x-expires=1779030000&x-signature=5qnngmpOQbNfdBkl4AV6QnrsNtM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
